Unnamed: 0,addr,역명,지하철 거리,addr.1,학교명,학교 거리,addr.2,기관명,병원 거리,면적당금액
3936,강남구 역삼동 736-22,역삼,257.4640469155249,강남구 역삼동 736-22,서울역삼초등학교,695.7343622729015,강남구 역삼동 736-22,엔슬림의원,63.24464999950175,696.5174129
3937,강남구 역삼동 677-4,역삼,434.8000334461372,강남구 역삼동 677-4,서울도성초등학교,795.042169968561,강남구 역삼동 677-4,스토리피부과의원,119.25447526628145,905.5982437
3938,강남구 역삼동 704-62,선릉,219.9827042071229,강남구 역삼동 704-62,진선여자중학교,429.0005827108192,강남구 역삼동 704-62,경희예가한의원,40.88392816683575,771.0557533
3939,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
3940,강남구 역삼동 823-3,강남,338.07031224418733,강남구 역삼동 823-3,서울서초초등학교,598.1863726637499,강남구 역삼동 823-3,맥스웰피부과의원,76.37098089042597,689.9004267
3941,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
3942,강남구 역삼동 664-28,언주,578.8669840708286,강남구 역삼동 664-28,서울학동초등학교,729.2804115817174,강남구 역삼동 664-28,친한의사의원,80.0441063542594,1286.101083
3943,강남구 역삼동 719-24,역삼,368.4939879226221,강남구 역삼동 719-24,서울도성초등학교,725.5444155045227,강남구 역삼동 719-24,알앤비성형외과의원,77.62721164251231,1149.55173
3944,강남구 역삼동 605-17,언주,116.16851072802612,강남구 역삼동 605-17,서울논현초등학교,631.9751858544803,강남구 역삼동 605-17,리리유의원,48.57207908554344,1557.210562
3945,강남구 역삼동 830-41,강남,425.8799564297236,강남구 역삼동 830-41,서울역삼초등학교,312.7586631042222,강남구 역삼동 830-41,유진성형외과의원,78.79343059413983,793.9189189
3946,강남구 역삼동 720-22,역삼,490.6793892201583,강남구 역삼동 720-22,서울도성초등학교,606.2385513605842,강남구 역삼동 720-22,이종복치과의원,68.80270924689064,837.5793955
3947,강남구 역삼동 713-11,선릉,592.8895464383082,강남구 역삼동 713-11,서울도성초등학교,355.3445135041759,강남구 역삼동 713-11,김경현치과의원,99.39604278395248,2619.839977
3948,강남구 역삼동 837-18,강남,721.4739404856005,강남구 역삼동 837-18,서울역삼초등학교,151.32689434098742,강남구 역삼동 837-18,소중한치과의원,87.80113558456772,732.8990228
3949,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3950,강남구 역삼동 837-13,강남,657.8636988865194,강남구 역삼동 837-13,서울역삼초등학교,162.20041443358582,강남구 역삼동 837-13,성모아이한의원,34.147473945744544,879.7653959
3951,강남구 역삼동 823-26,역삼,380.97014343373553,강남구 역삼동 823-26,서울역삼초등학교,673.7126148613196,강남구 역삼동 823-26,원치과의원,31.479664174276213,714.1364175
3952,강남구 역삼동 719-24,역삼,368.4939879226221,강남구 역삼동 719-24,서울도성초등학교,725.5444155045227,강남구 역삼동 719-24,알앤비성형외과의원,77.62721164251231,1149.55173
3953,강남구 역삼동 681-19,선정릉,304.65146596270097,강남구 역삼동 681-19,서울학동초등학교,370.5657894392663,강남구 역삼동 681-19,벧엘피부과의원,24.13613487534041,1376.762928
3954,강남구 역삼동 659-16,언주,196.5822797196573,강남구 역삼동 659-16,서울학동초등학교,765.4442444634835,강남구 역삼동 659-16,파크에비뉴치과의원,50.098053990955655,392.8571429
3955,강남구 역삼동 682-1,선정릉,149.3437952568801,강남구 역삼동 682-1,서울학동초등학교,423.2026448621581,강남구 역삼동 682-1,강석일한의원,36.26330206233696,2064.688334
3956,강남구 역삼동 719-24,역삼,368.4939879226221,강남구 역삼동 719-24,서울도성초등학교,725.5444155045227,강남구 역삼동 719-24,알앤비성형외과의원,77.62721164251231,1149.55173
3957,강남구 역삼동 780-35,한티,796.9086800783213,강남구 역삼동 780-35,도곡중학교,313.70189275918995,강남구 역삼동 780-35,베데스다정형외과의원,154.7745118476416,1742.445637
3958,강남구 역삼동 706-20,선릉,430.4965397404949,강남구 역삼동 706-20,서울도성초등학교,404.4621409464429,강남구 역삼동 706-20,누브의원,70.87399507413855,910.396324
3959,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3960,강남구 역삼동 719-24,역삼,368.4939879226221,강남구 역삼동 719-24,서울도성초등학교,725.5444155045227,강남구 역삼동 719-24,알앤비성형외과의원,77.62721164251231,1149.55173
3961,강남구 역삼동 706-20,선릉,430.4965397404949,강남구 역삼동 706-20,서울도성초등학교,404.4621409464429,강남구 역삼동 706-20,누브의원,70.87399507413855,910.396324
3962,강남구 역삼동 736-22,역삼,257.4640469155249,강남구 역삼동 736-22,서울역삼초등학교,695.7343622729015,강남구 역삼동 736-22,엔슬림의원,63.24464999950175,696.5174129
3963,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3964,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3965,강남구 역삼동 837-13,강남,657.8636988865194,강남구 역삼동 837-13,서울역삼초등학교,162.20041443358582,강남구 역삼동 837-13,성모아이한의원,34.147473945744544,879.7653959
3966,강남구 역삼동 744-17,역삼,384.3493717592533,강남구 역삼동 744-17,서울역삼초등학교,580.0974374351476,강남구 역삼동 744-17,스타치과의원,54.17365686521596,1775.256223
3967,강남구 역삼동 778-7,역삼,820.3791446060264,강남구 역삼동 778-7,도곡중학교,381.9427876514787,강남구 역삼동 778-7,인산한의원,219.758914731815,2227.432591
3968,강남구 역삼동 637-4,역삼,388.6687800377235,강남구 역삼동 637-4,서울서초초등학교,687.4432931622952,강남구 역삼동 637-4,만수무강한의원,129.54617902182474,1322.071245
3969,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
